word,pos,neg
confined,0,1
confinement,0,1
confinements,0,1
confines,0,1
confining,0,1
confiscate,0,1
confiscated,0,1
confiscates,0,1
confiscating,0,1
confiscation,0,1
confiscations,0,1
conflict,0,1
conflicted,0,1
conflicting,0,1
conflicts,0,1
confront,0,1
confrontation,0,1
confrontational,0,1
confrontations,0,1
confronted,0,1
confronting,0,1
confronts,0,1
confuse,0,1
confused,0,1
confuses,0,1
confusing,0,1
confusingly,0,1
confusion,0,1
conspiracies,0,1
conspiracy,0,1
conspirator,0,1
conspiratorial,0,1
conspirators,0,1
conspire,0,1
conspired,0,1
conspires,0,1
conspiring,0,1
constructive,1,0
constructively,1,0
contempt,0,1
contend,1,0
contended,0,1
contending,0,1
contends,0,1
contention,0,1
contentions,0,1
contentious,0,1
contentiously,0,1
contested,0,1
contesting,0,1
contraction,0,1
contractions,0,1
contradict,0,1
contradicted,0,1
contradicting,0,1
contradiction,0,1
contradictions,0,1
contradictory,0,1
contradicts,0,1
contrary,0,1
controversial,0,1
controversies,0,1
controversy,0,1
convict,0,1
convicted,0,1
convicting,0,1
conviction,0,1
convictions,0,1
corrected,0,1
correcting,0,1
correction,0,1
corrections,0,1
corrects,0,1
corrupt,0,1
corrupted,0,1
corrupting,0,1
corruption,0,1
corruptions,0,1
corruptly,0,1
corruptness,0,1
costly,0,1
counterclaim,0,1
counterclaimed,0,1
counterclaiming,0,1
counterclaims,0,1
counterfeit,0,1
counterfeited,0,1
counterfeiter,0,1
counterfeiters,0,1
counterfeiting,0,1
counterfeits,0,1
countermeasure,0,1
countermeasures,0,1
courteous,1,0
creative,1,0
creatively,1,0
creativeness,1,0
creativity,1,0
crime,0,1
crimes,0,1
criminal,0,1
criminally,0,1
criminals,0,1
crises,0,1
crisis,0,1
critical,0,1
critically,0,1
criticism,0,1
criticisms,0,1
criticize,0,1
criticized,0,1
criticizes,0,1
criticizing,0,1
crucial,0,1
crucially,0,1
culpability,0,1
culpable,0,1
culpably,0,1
cumbersome,0,1
curtail,0,1
curtailed,0,1
curtailing,0,1
curtailment,0,1
curtailments,0,1
curtails,0,1
cut,0,1
cutback,0,1
cutbacks,0,1
cyberattack,0,1
cyberattacks,0,1
cyberbullying,0,1
cybercrime,0,1
cybercrimes,0,1
cybercriminal,0,1
cybercriminals,0,1
damage,0,1
damaged,0,1
damages,0,1
damaging,0,1
dampen,0,1
dampened,0,1
danger,0,1
dangerous,0,1
dangerously,0,1
dangers,0,1
deadlock,0,1
deadlocked,0,1
deadlocking,0,1
deadlocks,0,1
deadweight,0,1
deadweights,0,1
debarment,0,1
debarments,0,1
debarred,0,1
deceased,0,1
deceit,0,1
deceitful,0,1
deceitfulness,0,1
deceive,0,1
deceived,0,1
deceives,0,1
deceiving,0,1
deception,0,1
deceptions,0,1
deceptive,0,1
deceptively,0,1
decline,0,1
declined,0,1
declines,0,1
declining,0,1
deface,0,1
defaced,0,1
defacement,0,1
defamation,0,1
defamations,0,1
defamatory,0,1
defame,0,1
defamed,0,1
defames,0,1
defaming,0,1
default,0,1
defaulted,0,1
defaulting,0,1
defaults,0,1
defeat,0,1
defeated,0,1
defeating,0,1
defeats,0,1
defect,0,1
defective,0,1
defects,0,1
defend,0,1
defendant,0,1
defendants,0,1
defended,0,1
defending,0,1
defends,0,1
defensive,1,0
defer,0,1
deficiencies,0,1
deficiency,0,1
deficient,0,1
deficit,0,1
deficits,0,1
defraud,0,1
defrauded,0,1
defrauding,0,1
defrauds,0,1
defunct,0,1
degradation,0,1
degradations,0,1
degrade,0,1
degraded,0,1
degrades,0,1
degrading,0,1
delay,0,1
delayed,0,1
delaying,0,1
delays,0,1
deleterious,0,1
deliberate,0,1
deliberated,0,1
deliberately,0,1
delight,1,0
delighted,1,0
delightful,1,0
delightfully,1,0
delighting,1,0
delights,1,0
delinquencies,0,1
delinquency,0,1
delinquent,0,1
delinquently,0,1
delinquents,0,1
delist,0,1
delisted,0,1
delisting,0,1
delists,0,1
demise,0,1
demised,0,1
demises,0,1
demising,0,1
demolish,0,1
demolished,0,1
demolishes,0,1
demolishing,0,1
demolition,0,1
demolitions,0,1
demote,0,1
demoted,0,1
demotes,0,1
demoting,0,1
demotion,0,1
demotions,0,1
denial,0,1
denials,0,1
denied,0,1
denies,0,1
denigrate,0,1
denigrated,0,1
denigrates,0,1
denigrating,0,1
denigration,0,1
deny,0,1
denying,0,1
dependability,1,0
dependable,1,0
deplete,0,1
depleted,0,1
depletes,0,1
depleting,0,1
depletion,0,1
depletions,0,1
deprecation,0,1
depress,0,1
depressed,0,1
depresses,0,1
depressing,0,1
deprivation,0,1
deprive,0,1
deprived,0,1
deprives,0,1
depriving,0,1
derelict,0,1
dereliction,0,1
derogatory,0,1
desirable,1,0
desired,1,0
despite,1,0
destabilization,0,1
destabilize,0,1
destabilized,0,1
destabilizing,0,1
destined,1,0
destroy,0,1
destroyed,0,1
destroying,0,1
destroys,0,1
destruction,0,1
destructive,0,1
detain,0,1
detained,0,1
detention,0,1
detentions,0,1
deter,0,1
deteriorate,0,1
deteriorated,0,1
deteriorates,0,1
deteriorating,0,1
deterioration,0,1
deteriorations,0,1
deterred,0,1
deterrence,0,1
deterrences,0,1
deterrent,0,1
deterrents,0,1
deterring,0,1
deters,0,1
detract,0,1
detracted,0,1
detracting,0,1
detriment,0,1
detrimental,0,1
detrimentally,0,1
detriments,0,1
devalue,0,1
devalued,0,1
devalues,0,1
devaluing,0,1
devastate,0,1
devastated,0,1
devastating,0,1
devastation,0,1
deviate,0,1
deviated,0,1
deviates,0,1
deviating,0,1
deviation,0,1
deviations,0,1
devolve,0,1
devolved,0,1
devolves,0,1
devolving,0,1
difficult,0,1
difficulties,0,1
difficultly,0,1
difficulty,0,1
diligent,1,0
diligently,1,0
diminish,0,1
diminished,0,1
diminishes,0,1
diminishing,0,1
diminution,0,1
disadvantage,0,1
disadvantaged,0,1
disadvantageous,0,1
disadvantages,0,1
disaffiliation,0,1
disagree,0,1
disagreeable,0,1
disagreed,0,1
disagreeing,0,1
disagreement,0,1
disagreements,0,1
disagrees,0,1
disallow,0,1
disallowance,0,1
disallowances,0,1
disallowed,0,1
disallowing,0,1
disallows,0,1
disappear,0,1
disappearance,0,1
disappearances,0,1
disappeared,0,1
disappearing,0,1
disappears,0,1
disappoint,0,1
disappointed,0,1
disappointing,0,1
disappointingly,0,1
disappointment,0,1
disappointments,0,1
disappoints,0,1
disapproval,0,1
disapprovals,0,1
disapprove,0,1
disapproved,0,1
disapproves,0,1
disapproving,0,1
disassociates,0,1
disassociating,0,1
disassociation,0,1
disassociations,0,1
disaster,0,1
disasters,0,1
disastrous,0,1
disastrously,0,1
disavow,0,1
disavowal,0,1
disavowed,0,1
disavowing,0,1
disavows,0,1
disciplinary,0,1
disclaim,0,1
disclaimed,0,1
disclaimer,0,1
disclaimers,0,1
disclaiming,0,1
disclaims,0,1
disclose,0,1
disclosed,0,1
discloses,0,1
disclosing,0,1
discontinuance,0,1
discontinuances,0,1
discontinuation,0,1
discontinuations,0,1
discontinue,0,1
discontinued,0,1
discontinues,0,1
discontinuing,0,1
discourage,0,1
discouraged,0,1
discourages,0,1
discouraging,0,1
discredit,0,1
discredited,0,1
discrediting,0,1
discredits,0,1
discrepancies,0,1
discrepancy,0,1
disfavor,0,1
disfavored,0,1
disfavoring,0,1
disfavors,0,1
disgorge,0,1
disgorged,0,1
disgorgement,0,1
disgorgements,0,1
disgorges,0,1
disgorging,0,1
disgrace,0,1
disgraceful,0,1
disgracefully,0,1
dishonest,0,1
dishonestly,0,1
dishonesty,0,1
dishonor,0,1
dishonorable,0,1
dishonorably,0,1
dishonored,0,1
dishonoring,0,1
dishonors,0,1
disincentives,0,1
disinterested,0,1
disinterestedly,0,1
disinterestedness,0,1
disloyal,0,1
disloyally,0,1
disloyalty,0,1
dismal,0,1
dismally,0,1
dismiss,0,1
dismissal,0,1
dismissals,0,1
dismissed,0,1
dismisses,0,1
dismissing,0,1
disorderly,0,1
disparage,0,1
disparaged,0,1
disparagement,0,1
disparagements,0,1
disparages,0,1
disparaging,0,1
disparagingly,0,1
disparities,0,1
disparity,0,1
displace,0,1
displaced,0,1
displacement,0,1
displacements,0,1
displaces,0,1
displacing,0,1
dispose,0,1
dispossess,0,1
dispossessed,0,1
dispossesses,0,1
dispossessing,0,1
disproportion,0,1
disproportional,0,1
disproportionate,0,1
disproportionately,0,1
dispute,0,1
disputed,0,1
disputes,0,1
disputing,0,1
disqualification,0,1
disqualifications,0,1
disqualified,0,1
disqualifies,0,1
disqualify,0,1
disqualifying,0,1
disregard,0,1
disregarded,0,1
disregarding,0,1
disregards,0,1
disreputable,0,1
disrepute,0,1
disrupt,0,1
disrupted,0,1
disrupting,0,1
disruption,0,1
disruptions,0,1
disruptive,0,1
disrupts,0,1
dissatisfaction,0,1
dissatisfied,0,1
dissent,0,1
dissented,0,1
dissenter,0,1
dissenters,0,1
dissenting,0,1
dissents,0,1
dissident,0,1
dissidents,0,1
dissolution,0,1
dissolutions,0,1
distinction,1,0
distinctions,1,0
distinctive,1,0
distinctively,1,0
distinctiveness,1,0
distort,0,1
distorted,0,1
distorting,0,1
distortion,0,1
distortions,0,1
distorts,0,1
distract,0,1
distracted,0,1
distracting,0,1
distraction,0,1
distractions,0,1
distracts,0,1
distress,0,1
distressed,0,1
disturb,0,1
disturbance,0,1
disturbances,0,1
disturbed,0,1
disturbing,0,1
disturbs,0,1
diversion,0,1
divert,0,1
diverted,0,1
diverting,0,1
diverts,0,1
divest,0,1
divested,0,1
divesting,0,1
divestiture,0,1
divestitures,0,1
divestment,0,1
divestments,0,1
divests,0,1
divorce,0,1
divorced,0,1
divulge,0,1
divulged,0,1
divulges,0,1
divulging,0,1
doubt,0,1
doubted,0,1
doubtful,0,1
doubts,0,1
downgrade,0,1
downgraded,0,1
downgrades,0,1
downgrading,0,1
downsize,0,1
downsized,0,1
downsizes,0,1
downsizing,0,1
downsizings,0,1
downtime,0,1
downtimes,0,1
downturn,0,1
downturns,0,1
downward,0,1
downwards,0,1
drag,0,1
drastic,0,1
drastically,0,1
drawback,0,1
drawbacks,0,1
dream,1,0
dropped,0,1
drought,0,1
droughts,0,1
duress,0,1
dysfunction,0,1
dysfunctional,0,1
dysfunctions,0,1
easier,1,0
easily,1,0
easing,1,0
easy,1,0
effective,1,0
efficiencies,1,0
efficiency,1,0
efficient,1,0
efficiently,1,0
egregious,0,1
egregiously,0,1
embargo,0,1
embargoed,0,1
embargoes,0,1
embargoing,0,1
embarrass,0,1
embarrassed,0,1
embarrasses,0,1
embarrassing,0,1
embarrassment,0,1
embarrassments,0,1
embezzle,0,1
embezzled,0,1
embezzlement,0,1
embezzlements,0,1
embezzler,0,1
embezzles,0,1
embezzling,0,1
empower,1,0
empowered,1,0
empowering,1,0
empowers,1,0
enable,1,0
enabled,1,0
enables,1,0
enabling,1,0
encouraged,1,0
encouragement,1,0
encourages,1,0
encouraging,1,0
encroach,0,1
encroached,0,1
encroaches,0,1
encroaching,0,1
encroachment,0,1
encroachments,0,1
encumber,0,1
encumbered,0,1
encumbering,0,1
encumbers,0,1
encumbrance,0,1
encumbrances,0,1
endanger,0,1
endangered,0,1
endangering,0,1
endangerment,0,1
endangers,0,1
enhance,1,0
enhanced,1,0
enhancement,1,0
enhancements,1,0
enhances,1,0
enhancing,1,0
enjoin,0,1
enjoined,0,1
enjoining,0,1
enjoins,0,1
enjoy,1,0
enjoyable,1,0
enjoyably,1,0
enjoyed,1,0
enjoying,1,0
enjoyment,1,0
enjoys,1,0
enthusiasm,1,0
enthusiastic,1,0
enthusiastically,1,0
erode,0,1
eroded,0,1
erodes,0,1
eroding,0,1
erosion,0,1
erratic,0,1
erratically,0,1
erred,0,1
erring,0,1
erroneous,0,1
erroneously,0,1
error,0,1
errors,0,1
errs,0,1
escalate,0,1
escalated,0,1
escalates,0,1
escalating,0,1
evade,0,1
evaded,0,1
evades,0,1
evading,0,1
evasion,0,1
evasions,0,1
evasive,0,1
evict,0,1
evicted,0,1
evicting,0,1
eviction,0,1
evictions,0,1
evicts,0,1
exacerbate,0,1
exacerbated,0,1
exacerbates,0,1
exacerbating,0,1
exacerbation,0,1
exacerbations,0,1
exaggerate,0,1
exaggerated,0,1
exaggerates,0,1
exaggerating,0,1
exaggeration,0,1
excellence,1,0
excellent,1,0
excelling,1,0
excels,1,0
exceptional,1,0
exceptionally,1,0
excessive,0,1
excessively,0,1
excited,1,0
excitement,1,0
exciting,1,0
exclusive,1,0
exclusively,1,0
exclusiveness,1,0
exclusives,1,0
exclusivity,1,0
exculpate,0,1
exculpated,0,1
exculpates,0,1
exculpating,0,1
exculpation,0,1
exculpations,0,1
exculpatory,0,1
exemplary,1,0
exonerate,1,0
exonerated,1,0
exonerates,1,0
exonerating,1,0
exoneration,0,1
exonerations,0,1
exploit,0,1
exploitation,0,1
exploitations,0,1
exploitative,0,1
exploited,0,1
exploiting,0,1
exploits,0,1
expose,0,1
exposed,0,1
exposes,0,1
exposing,0,1
expropriate,0,1
expropriated,0,1
expropriates,0,1
expropriating,0,1
expropriation,0,1
expropriations,0,1
expulsion,0,1
expulsions,0,1
extenuating,0,1
fail,0,1
failed,0,1
failing,0,1
failings,0,1
fails,0,1
failure,0,1
failures,0,1
fallout,0,1
false,0,1
falsely,0,1
falsification,0,1
falsifications,0,1
falsified,0,1
falsifies,0,1
falsify,0,1
falsifying,0,1
falsity,0,1
fantastic,1,0
fatalities,0,1
fatality,0,1
fatally,0,1
fault,0,1
faulted,0,1
faults,0,1
faulty,0,1
favorable,1,0
favorably,1,0
favored,1,0
favoring,1,0
favorite,1,0
favorites,1,0
fear,0,1
fears,0,1
felonies,0,1
felonious,0,1
felony,0,1
fictitious,0,1
fined,0,1
fines,0,1
fired,0,1
firing,0,1
flaw,0,1
flawed,0,1
flaws,0,1
forbid,0,1
forbidden,0,1
forbidding,0,1
forbids,0,1
force,0,1
forced,0,1
forcing,0,1
foreclose,0,1
foreclosed,0,1
forecloses,0,1
foreclosing,0,1
foreclosure,0,1
foreclosures,0,1
forego,0,1
foregoes,0,1
foregone,0,1
forestall,0,1
forestalled,0,1
forestalling,0,1
forestalls,0,1
forfeit,0,1
forfeited,0,1
forfeiting,0,1
forfeits,0,1
forfeiture,0,1
forfeitures,0,1
forgers,0,1
forgery,0,1
fraud,0,1
frauds,0,1
fraudulence,0,1
fraudulent,0,1
fraudulently,0,1
friendly,1,0
frivolous,0,1
frivolously,0,1
frustrate,0,1
frustrated,0,1
frustrates,0,1
frustrating,0,1
frustratingly,0,1
frustration,0,1
frustrations,0,1
fugitive,0,1
fugitives,0,1
gain,1,0
gained,1,0
gaining,1,0
gains,1,0
good,1,0
gratuitous,0,1
gratuitously,0,1
great,1,0
greater,1,0
greatest,1,0
greatly,1,0
greatness,1,0
grievance,0,1
grievances,0,1
grossly,0,1
groundless,0,1
guilty,0,1
halt,0,1
halted,0,1
hamper,0,1
hampered,0,1
hampering,0,1
hampers,0,1
happiest,1,0
happily,1,0
happiness,1,0
happy,1,0
harass,0,1
harassed,0,1
harassing,0,1
harassment,0,1
hardship,0,1
hardships,0,1
harm,0,1
harmed,0,1
harmful,0,1
harmfully,0,1
harming,0,1
harms,0,1
harsh,0,1
harsher,0,1
harshest,0,1
harshly,0,1
harshness,0,1
hazard,0,1
hazardous,0,1
hazards,0,1
highest,1,0
hinder,0,1
hindered,0,1
hindering,0,1
hinders,0,1
hindrance,0,1
hindrances,0,1
honor,1,0
honorable,1,0
honored,1,0
honoring,1,0
honors,1,0
hostile,0,1
hostility,0,1
hurt,0,1
hurting,0,1
ideal,1,0
idle,0,1
idled,0,1
idling,0,1
ignore,0,1
ignored,0,1
ignores,0,1
ignoring,0,1
ill,0,1
illegal,0,1
illegalities,0,1
illegality,0,1
illegally,0,1
illegible,0,1
illicit,0,1
illicitly,0,1
illiquid,0,1
illiquidity,0,1
imbalance,0,1
imbalances,0,1
immature,0,1
immoral,0,1
impair,0,1
impaired,0,1
impairing,0,1
impairment,0,1
impairments,0,1
impairs,0,1
impasse,0,1
impasses,0,1
impede,0,1
impeded,0,1
impedes,0,1
impediment,0,1
impediments,0,1
impeding,0,1
impending,0,1
imperative,0,1
imperfection,0,1
imperfections,0,1
imperil,0,1
impermissible,0,1
implicate,0,1
implicated,0,1
implicates,0,1
implicating,0,1
impossibility,0,1
impossible,0,1
impound,0,1
impounded,0,1
impounding,0,1
impounds,0,1
impracticable,0,1
impractical,0,1
impracticalities,0,1
impracticality,0,1
impress,1,0
impressed,1,0
impresses,1,0
impressing,1,0
impressive,1,0
impressively,1,0
imprisonment,0,1
improper,0,1
improperly,0,1
improprieties,0,1
impropriety,0,1
improve,1,0
improved,1,0
improvement,1,0
improvements,1,0
improves,1,0
improving,1,0
imprudent,0,1
imprudently,0,1
inability,0,1
inaccessible,0,1
inaccuracies,0,1
inaccuracy,0,1
inaccurate,0,1
inaccurately,0,1
inaction,0,1
inactions,0,1
inactivate,0,1
inactivated,0,1
inactivates,0,1
inactivating,0,1
inactivation,0,1
inactivations,0,1
inactivity,0,1
inadequacies,0,1
inadequacy,0,1
inadequate,0,1
inadequately,0,1
inadvertent,0,1
inadvertently,0,1
inadvisability,0,1
inadvisable,0,1
inappropriate,0,1
inappropriately,0,1
inattention,0,1
incapable,0,1
incapacitated,0,1
incapacity,0,1
incarcerate,0,1
incarcerated,0,1
incarcerates,0,1
incarcerating,0,1
incarceration,0,1
incarcerations,0,1
incidence,0,1
incidences,0,1
incident,0,1
incidents,0,1
incompatibilities,0,1
incompatibility,0,1
incompatible,0,1
incompetence,0,1
incompetency,0,1
incompetent,0,1
incompetently,0,1
incompetents,0,1
incomplete,0,1
incompletely,0,1
incompleteness,0,1
inconclusive,0,1
inconsistencies,0,1
inconsistency,0,1
inconsistent,0,1
inconsistently,0,1
inconvenience,0,1
inconveniences,0,1
inconvenient,0,1
incorrect,0,1
incorrectly,0,1
incorrectness,0,1
incredible,1,0
incredibly,1,0
indecency,0,1
indecent,0,1
indefeasible,0,1
indefeasibly,0,1
indict,0,1
indictable,0,1
indicted,0,1
indicting,0,1
indictment,0,1
indictments,0,1
ineffective,0,1
ineffectively,0,1
ineffectiveness,0,1
inefficiencies,0,1
inefficiency,0,1
inefficient,0,1
inefficiently,0,1
ineligibility,0,1
ineligible,0,1
inequitable,0,1
inequitably,0,1
inequities,0,1
inequity,0,1
inevitable,0,1
inexperience,0,1
inexperienced,0,1
inferior,0,1
inflicted,0,1
influential,1,0
informative,1,0
infraction,0,1
infractions,0,1
infringe,0,1
infringed,0,1
infringement,0,1
infringements,0,1
infringes,0,1
infringing,0,1
ingenuity,1,0
inhibited,0,1
inimical,0,1
injunction,0,1
injunctions,0,1
injure,0,1
injured,0,1
injures,0,1
injuries,0,1
injuring,0,1
injurious,0,1
injury,0,1
innovate,1,0
innovated,1,0
innovates,1,0
innovating,1,0
innovation,1,0
innovations,1,0
innovative,1,0
innovativeness,1,0
innovator,1,0
innovators,1,0
inordinate,0,1
inordinately,0,1
inquiry,0,1
insecure,0,1
insensitive,0,1
insightful,1,0
insolvencies,0,1
insolvency,0,1
insolvent,0,1
inspiration,1,0
inspirational,1,0
instability,0,1
insubordination,0,1
insufficiency,0,1
insufficient,0,1
insufficiently,0,1
insurrection,0,1
insurrections,0,1
integrity,1,0
intentional,0,1
interfere,0,1
interfered,0,1
interference,0,1
interferences,0,1
interferes,0,1
interfering,0,1
intermittent,0,1
intermittently,0,1
interrupt,0,1
interrupted,0,1
interrupting,0,1
interruption,0,1
interruptions,0,1
interrupts,0,1
intimidation,0,1
intrusion,0,1
invalid,0,1
invalidate,0,1
invalidated,0,1
invalidates,0,1
invalidating,0,1
invalidation,0,1
invalidity,0,1
invent,1,0
invented,1,0
inventing,1,0
invention,1,0
inventions,1,0
inventive,1,0
inventiveness,1,0
inventor,1,0
inventors,1,0
investigate,0,1
investigated,0,1
investigates,0,1
investigating,0,1
investigation,0,1
investigations,0,1
involuntarily,0,1
involuntary,0,1
irreconcilable,0,1
irreconcilably,0,1
irrecoverable,0,1
irrecoverably,0,1
irregular,0,1
irregularities,0,1
irregularity,0,1
irregularly,0,1
irreparable,0,1
irreparably,0,1
irreversible,0,1
jeopardize,0,1
jeopardized,0,1
justifiable,0,1
kickback,0,1
kickbacks,0,1
knowingly,0,1
lack,0,1
lacked,0,1
lacking,0,1
lackluster,0,1
lacks,0,1
lag,0,1
lagged,0,1
lagging,0,1
lags,0,1
lapse,0,1
lapsed,0,1
lapses,0,1
lapsing,0,1
late,0,1
laundering,0,1
layoff,0,1
layoffs,0,1
leadership,1,0
leading,1,0
lie,0,1
limitation,0,1
limitations,0,1
lingering,0,1
liquidate,0,1
liquidated,0,1
liquidates,0,1
liquidating,0,1
liquidation,0,1
liquidations,0,1
liquidator,0,1
liquidators,0,1
litigant,0,1
litigants,0,1
litigate,0,1
litigated,0,1
litigates,0,1
litigating,0,1
litigation,0,1
litigations,0,1
lockout,0,1
lockouts,0,1
lose,0,1
loses,0,1
losing,0,1
loss,0,1
losses,0,1
lost,0,1
loyal,1,0
lucrative,1,0
lying,0,1
malfeasance,0,1
malfunction,0,1
malfunctioned,0,1
malfunctioning,0,1
malfunctions,0,1
malice,0,1
malicious,0,1
maliciously,0,1
malpractice,0,1
manipulate,0,1
manipulated,0,1
manipulates,0,1
manipulating,0,1
manipulation,0,1
manipulations,0,1
manipulative,0,1
markdown,0,1
markdowns,0,1
meritorious,1,0
misapplication,0,1
misapplications,0,1
misapplied,0,1
misapplies,0,1
misapply,0,1
misapplying,0,1
